id,group,ComprehensionCheck,SAPearson,SAKoelle,ConfidenceKoelle,Gender,Age,SAMonteroPublic,SAMonteroHome,LParking,LCarpark,LServicearea,LPavement,LHome,LDriving,LPassenger,LPub,LWorkplace,AAlone,APartner,AFriends,AColleagues,AStrangers,AFamily
3,secretive,secretive,4,4,4,femal,24,5,6,5,5,5,4,5,6,6,6,5,5,4,4,5,5,4
5,suspenseful,suspenseful,4,4,3,femal,37,3,4,3,3,3,3,4,6,6,3,3,4,4,3,3,3,3
6,magical,magical,5,7,7,male,24,6,6,5,5,5,5,5,6,6,4,5,5,5,5,5,5,5
7,suspenseful,suspenseful,5,7,6,femal,24,6,6,5,5,5,5,6,6,6,6,5,5,5,5,5,5,5
8,secretive,secretive,5,7,7,male,24,6,6,5,5,5,5,5,6,6,5,5,5,5,5,5,5,5
9,expressive,expressive,5,7,7,male,38,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
10,secretive,secretive,5,7,7,femal,42,6,6,5,5,5,5,5,6,6,6,5,5,5,5,5,5,5
11,magical,magical,5,7,7,femal,37,6,6,5,5,5,5,5,6,6,5,5,5,5,5,5,5,5
12,magical,magical,5,7,7,femal,53,6,6,5,5,5,5,5,6,6,5,5,3,5,5,5,3,5
13,magical,magical,5,7,7,femal,43,6,6,5,4,5,4,5,6,6,5,5,4,5,5,5,4,5
14,expressive,expressive,5,7,7,male,51,6,6,5,5,5,5,5,6,6,5,5,5,5,5,5,5,5
15,expressive,expressive,5,7,7,femal,34,6,6,5,5,5,5,5,6,6,5,5,6,5,5,5,5,5
16,expressive,expressive,5,7,7,femal,30,6,6,5,5,5,5,5,6,6,6,5,5,5,5,5,5,5
17,secretive,secretive,5,7,7,femal,31,6,6,5,5,5,5,5,6,6,5,5,5,5,5,5,5,5
18,suspenseful,suspenseful,1,6,6,femal,25,5,5,5,5,5,5,6,6,6,6,6,5,5,5,5,5,5
19,suspenseful,suspenseful,5,4,5,male,23,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
20,expressive,expressive,5,7,7,femal,35,6,4,5,5,5,5,5,6,6,6,5,5,5,5,5,2,5
21,suspenseful,suspenseful,5,7,7,femal,28,6,6,5,5,5,5,5,6,6,6,6,5,5,5,5,5,5
22,secretive,secretive,5,7,7,femal,46,6,6,5,5,5,3,5,3,6,6,6,5,5,5,5,5,5
23,secretive,secretive,3,4,3,femal,42,6,6,3,3,3,3,3,6,6,6,3,5,5,3,3,3,3
24,magical,magical,5,7,7,femal,29,6,6,5,5,5,5,5,6,6,5,6,5,5,5,5,5,5
