id,submitdate,lastpage,startlanguage,seed,startdate,datestamp,refurl,ProlificID,SessionID,StudyID,group,Checks,Instruction,VMVE,VMIE,IMVE,IMIE,ComprehensionCheck,SAMontero[ComfortPublic],SAMontero[ComfortPrivate],SAPearson,SAKoelle,ConfidenceKoelle,LocationsRico[parking],LocationsRico[carpark],LocationsRico[servicearea],LocationsRico[pavement],LocationsRico[home],LocationsRico[driving],LocationsRico[passenger],LocationsRico[pub],LocationsRico[workplace],AudiencesRico[alone],AudiencesRico[partner],AudiencesRico[friends],AudiencesRico[colleagues],AudiencesRico[strangers],AudiencesRico[family],Gender,Age,SurveyFinished,interviewtime,groupTime7,ProlificIDTime,SessionIDTime,StudyIDTime,groupTime,ChecksTime,groupTime8,InstructionTime,VMVETime,VMIETime,IMVETime,IMIETime,ComprehensionCheckTime,groupTime10,SAMonteroTime,SAPearsonTime,SAKoelleTime,ConfidenceKoelleTime,LocationsRicoTime,AudiencesRicoTime,groupTime9,GenderTime,AgeTime,SurveyFinishedTime
3,2024-07-22 21:56:16,20,en,1803997515,2024-07-22 21:53:56,2024-07-22 21:56:16,https://app.prolific.com/,,,66978d746fdddabc9c3b2ff4,3,,,,,,,4,5,6,4,4,4,5,5,5,4,5,6,6,6,5,5,4,4,5,5,4,femal,24,,131.15,,,,,,,,8.41,,,20.87,,10.64,,9.66,5.94,5.48,6.14,26.52,21.61,,4.73,6.19,4.96
4,,10,en,557545135,2024-07-22 21:54:13,2024-07-22 21:54:40,https://app.prolific.com/,,,66978d746fdddabc9c3b2ff4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.42,,,,,,,,13.25,,,4.17,,,,,,,,,,,,,
5,2024-07-22 21:57:42,20,en,1506080503,2024-07-22 21:54:27,2024-07-22 21:57:42,https://app.prolific.com/,,,66978d746fdddabc9c3b2ff4,2,,,,,,,2,3,4,4,4,3,3,3,3,3,4,6,6,3,3,4,4,3,3,3,3,femal,37,,193.15,,,,,,,,15.9,,34.96,,,12.04,,15.56,6.58,8.23,8.98,49.06,24.67,,3.88,6.02,7.27
6,2024-07-22 21:57:14,20,en,595371479,2024-07-22 21:54:46,2024-07-22 21:57:14,https://app.prolific.com/,,,66978d746fdddabc9c3b2ff4,3,,,,,,,3,6,6,5,7,7,5,5,5,5,5,6,6,4,5,5,5,5,5,5,5,male,24,,135.38,,,,,,,,33.5,,,23.9,,8.34,,5.64,4.58,5.8,5.29,28.5,10.06,,2.97,3.78,3.02
7,2024-07-22 21:58:22,20,en,1372908743,2024-07-22 21:54:49,2024-07-22 21:58:22,https://app.prolific.com/,,,66978d746fdddabc9c3b2ff4,2,,,,,,,2,6,6,5,7,6,5,5,5,5,6,6,6,6,5,5,5,5,5,5,5,femal,24,,196.82,,,,,,,,16.6,,69.34,,,11.88,,13.61,4.58,6.3,7.53,34.32,15.26,,3.26,7.23,6.91
8,2024-07-22 21:58:46,20,en,249154323,2024-07-22 21:55:07,2024-07-22 21:58:46,https://app.prolific.com/,,,66978d746fdddabc9c3b2ff4,4,,,,,,,4,6,6,5,7,7,5,5,5,5,5,6,6,5,5,5,5,5,5,5,5,male,24,,175.86,,,,,,,,4.45,,,,29.26,12.49,,9.16,6.14,7.93,8.32,58.94,22.23,,3.92,5.29,7.73
9,2024-07-22 21:56:54,20,en,657035123,2024-07-22 21:55:17,2024-07-22 21:56:54,https://app.prolific.com/,,,66978d746fdddabc9c3b2ff4,1,,,,,,,1,6,6,5,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,male,38,,100.1,,,,,,,,10.88,25.88,,,,7.85,,6.36,4.66,4.45,3.46,17.77,8.74,,3.35,3.87,2.83
10,2024-07-22 21:58:28,20,en,1961971334,2024-07-22 21:55:18,2024-07-22 21:58:28,https://app.prolific.com/,,,66978d746fdddabc9c3b2ff4,4,,,,,,,4,6,6,5,7,7,5,5,5,5,5,6,6,6,5,5,5,5,5,5,5,femal,42,,183.36,,,,,,,,10.48,,,,59.15,10.9,,8.53,5.73,8.78,6.9,42.52,16.11,,3.94,6.52,3.8
11,2024-07-22 21:59:04,20,en,29487492,2024-07-22 21:55:42,2024-07-22 21:59:04,https://app.prolific.com/,,,66978d746fdddabc9c3b2ff4,3,,,,,,,3,6,6,5,7,7,5,5,5,5,5,6,6,5,5,5,5,5,5,5,5,femal,37,,185.36,,,,,,,,12.2,,,43.8,,8.64,,7.42,5.28,6.34,5.99,31.64,18.37,,6.08,14.78,24.82
12,2024-07-22 21:58:39,20,en,1170314461,2024-07-22 21:55:42,2024-07-22 21:58:39,https://app.prolific.com/,,,66978d746fdddabc9c3b2ff4,3,,,,,,,3,6,6,5,7,7,5,5,5,5,5,6,6,5,5,3,5,5,5,3,5,femal,53,,169.58,,,,,,,,50.78,,,27.91,,10.23,,7.47,6.14,4.04,4.04,31.27,14.07,,3.45,6.52,3.66
